uuid,division,collection,title,typeOfResource,genre,date,identifier,location,total
85793180-c5cd-012f-7f27-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
8c988040-c5cd-012f-a216-58d385a7bc34,"Irma and Paul Milstein Division of United States History, Local History and Genealogy","Photographic views of New York City, 1870's-1970's, from the collections of the New York Public Library. Supplement.",1,1,0,1,1,1,5
938fb4b0-c5cd-012f-ce28-58d385a7bc34,Manuscripts and Archives Division,NYWF Index Card Collection,1,1,0,0,0,1,3
9a6957f0-c5cd-012f-36d7-58d385a7bc34,Slavic and East European Collections,"Obshchii gerbovnik dvorianskikh rodov Vserossiiskiia Imperii, nachatyi v 1797m godu.",1,1,0,1,1,1,5
a13c6050-c5cd-012f-8f10-58d385a7bc34,"Irma and Paul Milstein Division of United States History, Local History and Genealogy","Photographic views of New York City, 1870's-1970's, from the collections of the New York Public Library. Supplement.",1,1,0,1,1,1,5
a7c2a170-c5cd-012f-60de-58d385a7bc34,Slavic and East European Collections,"Obshchii gerbovnik dvorianskikh rodov Vserossiiskiia Imperii, nachatyi v 1797m godu.",1,1,0,1,1,1,5
ae53ba60-c5cd-012f-9228-58d385a7bc34,Slavic and East European Collections,"Obshchii gerbovnik dvorianskikh rodov Vserossiiskiia Imperii, nachatyi v 1797m godu.",1,1,0,1,1,1,5
b4e1a6f0-c5cd-012f-e480-58d385a7bc34,Slavic and East European Collections,"Obshchii gerbovnik dvorianskikh rodov Vserossiiskiia Imperii, nachatyi v 1797m godu.",1,1,0,1,1,1,5
bbab8620-c5cd-012f-b91d-58d385a7bc34,Dorot Jewish Division,"Yizkor Book Collection -- deprecated, old structure",1,1,1,0,1,1,5
c27cf120-c5cd-012f-3069-58d385a7bc34,"Irma and Paul Milstein Division of United States History, Local History and Genealogy","Photographic views of New York City, 1870's-1970's, from the collections of the New York Public Library. Supplement.",1,1,0,1,1,1,5
c946cd40-c5cd-012f-3520-58d385a7bc34,"Irma and Paul Milstein Division of United States History, Local History and Genealogy","Photographic views of New York City, 1870's-1970's, from the collections of the New York Public Library. Supplement.",1,1,0,1,1,1,5
